Stagione,Data,Ora,Casa,Ospite,GolCasa,GolOspite,Esito,Arbitro,Giornata,QuartoUomo,Var,Avar,FalliCasa,FalliOspite,GialliCasa,GialliOspite,RossiCasa,RossiOspite
2024/25,08/11/2024,17:30,Braunschweig,Hamburg,3,1,H,,,,,,9,18,3,2,0,0
2024/25,08/11/2024,17:30,Nurnberg,Kaiserslautern,0,0,D,,,,,,9,13,1,3,0,0
2024/25,09/11/2024,12:00,Darmstadt,Hertha,3,1,H,,,,,,14,18,5,3,0,0
2024/25,09/11/2024,19:30,Dusseldorf,Paderborn,1,1,D,,,,,,10,7,2,0,0,0
2024/25,09/11/2024,12:00,FC Koln,Greuther Furth,1,0,H,,,,,,9,7,2,4,0,0
2024/25,09/11/2024,12:00,Magdeburg,Ulm,0,0,D,,,,,,14,13,2,4,0,1
2024/25,10/11/2024,12:30,Elversberg,Hannover,3,1,H,,,,,,12,14,1,1,0,0
2024/25,10/11/2024,12:30,Karlsruhe,Preußen Münster,1,1,D,,,,,,14,10,1,3,0,0
2024/25,10/11/2024,12:30,Schalke 04,Regensburg,2,0,H,,,,,,8,7,1,3,0,0
2024/25,22/11/2024,17:30,Paderborn,Nurnberg,3,2,H,,,,,,11,12,0,0,0,0
2024/25,22/11/2024,17:30,Preußen Münster,FC Koln,0,1,A,,,,,,7,7,3,1,0,0
2024/25,23/11/2024,12:00,Dusseldorf,Elversberg,0,2,A,,,,,,8,9,2,1,0,0
2024/25,23/11/2024,12:00,Greuther Furth,Karlsruhe,2,3,A,,,,,,10,11,2,2,0,0
2024/25,23/11/2024,19:30,Hamburg,Schalke 04,2,2,D,,,,,,8,11,2,2,0,0
2024/25,23/11/2024,12:00,Hannover,Darmstadt,1,2,A,,,,,,12,11,1,3,0,0
2024/25,23/11/2024,12:00,Hertha,Ulm,2,2,D,,,,,,13,11,0,0,0,0
2024/25,24/11/2024,12:30,Kaiserslautern,Braunschweig,3,2,H,,,,,,15,14,1,4,0,0
2024/25,24/11/2024,12:30,Regensburg,Magdeburg,0,1,A,,,,,,11,13,4,4,0,0
2024/25,29/11/2024,17:30,Magdeburg,Hertha,1,3,A,,,,,,10,10,3,3,0,0
2024/25,29/11/2024,17:30,Schalke 04,Kaiserslautern,0,3,A,,,,,,14,18,1,4,0,0
2024/25,30/11/2024,12:00,Braunschweig,Regensburg,0,0,D,,,,,,16,11,3,3,0,0
2024/25,30/11/2024,19:30,Darmstadt,Preußen Münster,0,0,D,,,,,,10,18,3,4,0,0
2024/25,30/11/2024,12:00,Elversberg,Paderborn,1,3,A,,,,,,10,11,0,0,0,0
2024/25,30/11/2024,12:00,FC Koln,Hannover,2,2,D,,,,,,15,10,1,1,0,1
2024/25,01/12/2024,12:30,Karlsruhe,Hamburg,1,3,A,,,,,,8,8,4,4,0,0
